City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,54,4.0,broken clouds
1,Leningradskiy,RU,69.3833,178.4167,-3.62,82,92,4.68,overcast clouds
2,Kapaa,US,22.0752,-159.319,82.38,75,20,1.01,few clouds
3,Barrow,US,71.2906,-156.7887,10.42,79,90,5.75,light snow
4,Cidreira,BR,-30.1811,-50.2056,62.29,72,0,6.71,clear sky
5,Busselton,AU,-33.65,115.3333,76.08,44,15,7.74,few clouds
6,Hobart,AU,-42.8794,147.3294,64.11,69,75,1.01,broken clouds
7,Maniitsoq,GL,65.4167,-52.9,26.83,60,100,21.61,overcast clouds
8,Nikolskoye,RU,59.7035,30.7861,35.49,97,100,9.57,overcast clouds
9,Moreira Sales,BR,-24.0622,-53.0069,65.66,75,0,5.64,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,40.29,scattered clouds
11,Whitehorse,CA,60.7161,-135.0538,-11.9,75,20,2.3,few clouds
12,Saskylakh,RU,71.9167,114.0833,-20.88,96,31,7.25,scattered clouds
13,Buraydah,SA,26.326,43.975,55.85,43,10,10.04,clear sky
14,Rikitea,PF,-23.1203,-134.9692,73.63,67,50,10.22,scattered clouds
15,Bambous Virieux,MU,-20.3428,57.7575,79.21,73,40,13.8,scattered clouds
16,Upernavik,GL,72.7868,-56.1549,6.71,62,54,8.9,broken clouds
17,Sur,OM,22.5667,59.5289,76.75,46,0,6.02,clear sky
18,Rawson,AR,-43.3002,-65.1023,70.77,32,48,10.4,scattered clouds
19,Moussoro,TD,13.6408,16.4901,77.59,20,4,9.89,clear sky
20,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,2.3,light rain
21,Ushuaia,AR,-54.8,-68.3,40.66,65,40,32.21,scattered clouds
22,Pau Dos Ferros,BR,-6.1125,-38.2063,79.02,61,45,9.35,scattered clouds
23,Bethel,US,41.3712,-73.414,40.57,68,1,0.0,clear sky
24,Constitucion,CL,-35.3333,-72.4167,52.0,92,38,1.45,scattered clouds
25,Lovozero,RU,68.005,35.0117,18.45,99,100,2.24,overcast clouds
26,Codrington,AU,-38.2667,141.9667,58.91,50,9,10.13,clear sky
27,Umea,SE,63.8284,20.2597,35.91,80,7,17.27,clear sky
28,Sao Mateus,BR,-18.7161,-39.8589,74.28,90,99,5.88,overcast clouds
29,Trairi,BR,-3.2778,-39.2689,80.47,73,96,13.02,overcast clouds
30,Tura,IN,25.5198,90.2201,73.76,58,14,2.13,few clouds
31,Tukrah,LY,32.5341,20.5791,65.7,68,59,18.97,broken clouds
32,Mola Di Bari,IT,41.0609,17.0873,58.21,89,36,16.58,scattered clouds
33,San Alberto,CO,7.7611,-73.3922,72.84,90,62,4.7,broken clouds
34,Chokurdakh,RU,70.6333,147.9167,-14.39,99,100,3.38,overcast clouds
35,Talnakh,RU,69.4865,88.3972,-14.85,96,58,7.18,broken clouds
36,Saint George,US,37.1041,-113.5841,59.34,38,1,3.44,clear sky
37,Nanortalik,GL,60.1432,-45.2371,32.97,97,100,24.7,snow
38,Atuona,PF,-9.8,-139.0333,78.15,77,4,13.91,clear sky
39,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,20,4.61,few clouds
40,Ucluelet,CA,48.9329,-125.5528,39.09,89,96,5.46,overcast clouds
41,Luderitz,NA,-26.6481,15.1594,56.75,82,5,15.3,clear sky
42,Rio Grande,BR,-32.035,-52.0986,59.95,71,0,10.07,clear sky
43,Laukaa,RU,58.7372,29.8453,35.67,93,100,13.06,overcast clouds
44,Antofagasta,CL,-23.65,-70.4,60.08,75,12,5.48,few clouds
45,Cullman,US,34.1748,-86.8436,43.07,73,1,1.99,clear sky
46,Albany,US,42.6001,-73.9662,34.41,77,0,3.0,clear sky
47,Vaini,TO,-21.2,-175.2,84.36,79,20,9.22,few clouds
48,Cape Town,ZA,-33.9258,18.4232,62.11,65,0,19.57,clear sky
49,Hervey Bay,AU,-25.2986,152.8535,85.03,60,43,9.37,scattered clouds
50,Carnarvon,AU,-24.8667,113.6333,75.27,64,0,13.8,clear sky
51,Saint-Paul,RE,-21.0096,55.2707,82.0,63,3,2.01,clear sky
52,Touros,BR,-5.1989,-35.4608,79.7,74,4,14.38,clear sky
53,Thunder Bay,CA,48.4001,-89.3168,37.56,61,75,10.36,broken clouds
54,Tianpeng,CN,30.9866,103.9393,54.07,69,96,2.28,overcast clouds
55,Pevek,RU,69.7008,170.3133,-6.66,87,78,3.13,broken clouds
56,Lebedinyy,RU,58.5167,125.5167,0.0,92,17,2.98,few clouds
57,Concordia,AR,-31.393,-58.0209,64.78,71,0,3.0,clear sky
58,Yulara,AU,-25.2406,130.9889,93.04,24,84,6.91,broken clouds
59,Qaanaaq,GL,77.484,-69.3632,-4.27,72,70,8.14,broken clouds
60,Port Alfred,ZA,-33.5906,26.891,62.01,76,55,2.39,light rain
61,Dikson,RU,73.5069,80.5464,-5.37,94,99,4.79,overcast clouds
62,Sitka,US,57.0531,-135.33,33.69,75,40,5.75,scattered clouds
63,Senj,HR,44.9894,14.9058,47.07,66,57,3.62,broken clouds
64,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,32,0,16.11,clear sky
65,Fayaoue,NC,-20.65,166.5333,76.66,75,9,10.69,clear sky
66,Olafsvik,IS,64.8945,-23.7142,34.75,70,72,14.88,broken clouds
67,Jamestown,US,42.097,-79.2353,35.51,86,90,8.05,overcast clouds
68,Castro,BR,-24.7911,-50.0119,58.86,92,95,9.22,overcast clouds
69,Severo-Kurilsk,RU,50.6789,156.125,37.6,98,100,30.51,heavy intensity rain
70,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,20,6.91,few clouds
71,Marsh Harbour,BS,26.5412,-77.0636,74.01,87,100,19.86,overcast clouds
72,Necocli,CO,8.4234,-76.786,75.92,90,90,8.3,overcast clouds
73,Manta,EC,-0.95,-80.7333,71.38,88,75,4.61,broken clouds
74,Urumqi,CN,43.801,87.6005,20.35,63,0,4.47,clear sky
75,Kuliyapitiya,LK,7.4688,80.0401,82.08,78,25,8.16,scattered clouds
76,Tiksi,RU,71.6872,128.8694,-11.07,95,98,6.04,overcast clouds
77,Huarmey,PE,-10.0681,-78.1522,64.58,88,100,7.74,overcast clouds
78,Hunchun,CN,42.8675,130.3581,39.63,51,41,2.37,scattered clouds
79,Karratha,AU,-20.7377,116.8463,91.72,27,24,12.73,few clouds
80,Santa Marta,CO,11.2408,-74.199,78.35,80,89,9.6,overcast clouds
81,Pisco,PE,-13.7,-76.2167,64.45,82,0,4.61,clear sky
82,Hilo,US,19.7297,-155.09,81.28,80,90,4.61,overcast clouds
83,Hasaki,JP,35.7333,140.8333,64.29,63,69,17.0,broken clouds
84,Hermanus,ZA,-34.4187,19.2345,57.79,84,39,13.38,scattered clouds
85,Butaritari,KI,3.0707,172.7902,82.13,73,100,16.46,overcast clouds
86,Asosa,ET,10.0667,34.5333,63.39,52,3,4.38,clear sky
87,Kandrian,PG,-6.2167,149.55,78.64,88,100,3.44,light rain
88,Jieshi,CN,22.8134,115.8257,77.95,67,52,16.87,broken clouds
89,Avarua,CK,-21.2078,-159.775,80.65,65,40,11.5,scattered clouds
90,Xingyi,CN,24.1877,102.817,64.83,56,4,7.18,clear sky
91,Myaundzha,RU,63.0494,147.1858,-3.95,95,100,2.15,overcast clouds
92,Pangnirtung,CA,66.1451,-65.7125,18.61,74,100,8.59,overcast clouds
93,Mayya,RU,61.7333,130.2811,-22.68,92,99,2.01,overcast clouds
94,Provideniya,RU,64.3833,-173.3,11.34,69,1,8.61,clear sky
95,Charters Towers,AU,-20.1,146.2667,92.88,22,1,11.61,clear sky
96,Neryungri,RU,56.6709,124.6491,-2.15,88,52,3.18,broken clouds
97,Bluff,NZ,-46.6,168.3333,52.09,81,99,2.51,overcast clouds
98,Saint-Augustin,CA,51.226,-58.6502,34.38,86,65,9.35,broken clouds
99,Tilichiki,RU,60.4667,166.1,5.67,91,38,8.52,scattered clouds
100,Kudahuvadhoo,MV,2.6708,72.8944,82.83,72,94,17.56,overcast clouds
101,Longyearbyen,SJ,78.2186,15.6401,13.84,52,20,13.8,few clouds
102,Ho Chi Minh City,VN,10.75,106.6667,86.02,74,75,3.44,broken clouds
103,Okhotsk,RU,59.3833,143.3,14.02,79,17,14.65,few clouds
104,Mananjary,MG,-21.2167,48.3333,77.25,72,10,8.75,clear sky
105,Kirakira,SB,-10.4544,161.9205,82.78,72,64,2.51,broken clouds
106,Klaksvik,FO,62.2266,-6.589,41.92,77,100,10.98,overcast clouds
107,Kodiak,US,57.79,-152.4072,26.11,63,90,14.97,overcast clouds
108,Tevaitoa,PF,-16.7833,-151.5,79.84,80,23,19.04,light rain
109,Northam,GB,51.0333,-4.2167,51.39,95,100,3.36,overcast clouds
110,Narsaq,GL,60.9167,-46.05,32.22,90,100,15.01,snow
111,Faanui,PF,-16.4833,-151.75,80.17,79,16,17.16,light rain
112,San Borja,BO,-14.8167,-66.85,70.95,84,100,1.74,overcast clouds
113,Kirkwall,GB,58.9848,-2.9587,46.74,92,40,1.14,moderate rain
114,Zabid,YE,14.1951,43.3152,77.5,56,1,1.03,clear sky
115,Iqaluit,CA,63.7506,-68.5145,26.33,73,90,11.99,overcast clouds
116,Narimanov,RU,46.6927,47.8498,33.71,95,100,7.9,overcast clouds
117,Malya,TZ,-2.9833,33.5167,69.64,65,74,2.19,broken clouds
118,Ulaangom,MN,49.9811,92.0667,11.05,36,0,2.19,clear sky
119,Druzhba,UA,52.0428,33.9453,45.05,93,100,21.03,overcast clouds
120,Fortuna,US,40.5982,-124.1573,53.42,68,1,3.44,clear sky
121,Bredasdorp,ZA,-34.5322,20.0403,57.27,77,93,11.99,light rain
122,Mahebourg,MU,-20.4081,57.7,79.25,73,40,13.8,scattered clouds
123,Lorengau,PG,-2.0226,147.2712,86.14,59,10,4.9,clear sky
124,Hudson Bay,CA,52.85,-102.3842,18.34,93,33,7.7,scattered clouds
125,Forbes,AU,-33.3833,148.0167,74.91,64,100,11.34,overcast clouds
126,Yellowknife,CA,62.456,-114.3525,-3.48,84,75,9.22,broken clouds
127,Rocha,UY,-34.4833,-54.3333,56.48,78,0,2.91,clear sky
128,Mataura,NZ,-46.1927,168.8643,59.22,75,99,3.2,overcast clouds
129,Warri,NG,5.5167,5.75,75.76,92,73,2.66,broken clouds
130,Boston,US,42.3584,-71.0598,39.25,58,20,7.0,few clouds
131,Saiha,IN,22.4833,92.9667,80.89,47,78,2.82,broken clouds
132,Wentzville,US,38.8114,-90.8529,42.85,51,100,5.01,overcast clouds
133,Praia,CV,14.9215,-23.5087,77.54,88,90,6.91,overcast clouds
134,Saint-Joseph,RE,-21.3667,55.6167,80.47,65,27,8.7,scattered clouds
135,Georgetown,MY,5.4112,100.3354,87.73,74,20,3.0,few clouds
136,Makakilo City,US,21.3469,-158.0858,82.72,62,90,8.05,overcast clouds
137,Richards Bay,ZA,-28.783,32.0377,62.1,89,100,4.63,overcast clouds
138,Onega,RU,63.9061,38.1404,30.58,94,100,9.55,overcast clouds
139,Husavik,IS,66.0449,-17.3389,30.11,91,100,12.19,light snow
140,Castanos,MX,26.7833,-101.4167,54.34,38,0,5.32,clear sky
141,Cayenne,GF,4.9333,-52.3333,81.09,86,20,3.0,few clouds
142,Muros,ES,42.7762,-9.0603,52.3,65,60,6.33,broken clouds
143,Ribeira Grande,PT,38.5167,-28.7,66.02,75,99,20.94,overcast clouds
144,Odweyne,SO,9.4092,45.064,65.23,31,8,7.49,clear sky
145,Cabo San Lucas,MX,22.8909,-109.9124,73.51,75,1,3.0,clear sky
146,Ponta Do Sol,PT,32.6667,-17.1,62.71,65,5,4.36,clear sky
147,Aksarka,RU,66.5606,67.7975,5.09,95,100,15.39,light snow
148,Trat,TH,12.5,102.5,88.0,71,100,1.34,overcast clouds
149,Palmas,BR,-10.2128,-48.3603,82.27,78,75,6.91,broken clouds
150,Kasongo-Lunda,CD,-6.4667,16.8167,66.38,98,55,1.07,light rain
151,Troitsko-Pechorsk,RU,62.7084,56.1964,25.12,92,100,10.74,overcast clouds
152,Sudbury,CA,46.49,-80.99,36.46,88,100,4.09,overcast clouds
153,Beringovskiy,RU,63.05,179.3167,6.04,96,93,13.29,overcast clouds
154,Khatanga,RU,71.9667,102.5,-18.71,95,100,4.52,overcast clouds
155,Himatnagar,IN,23.6,72.95,72.41,55,42,11.72,scattered clouds
156,Tessalit,ML,20.1986,1.0114,69.55,19,54,9.46,broken clouds
157,Yumen,CN,40.2833,97.2,29.25,58,83,25.12,broken clouds
158,Phuket,TH,8.0,98.25,85.08,79,20,5.75,few clouds
159,Vigrestad,NO,58.5667,5.7,46.99,88,100,4.76,light rain
160,Deputatskiy,RU,69.3,139.9,-19.68,99,36,3.78,scattered clouds
161,Dosso,NE,13.049,3.1937,75.94,17,3,9.46,clear sky
162,Guerrero Negro,MX,27.9769,-114.0611,63.03,89,100,10.54,overcast clouds
163,Pacific Grove,US,36.6177,-121.9166,59.61,93,90,1.01,mist
164,Esperance,AU,-33.8667,121.9,67.84,49,3,13.82,clear sky
165,Nome,US,64.5011,-165.4064,-1.84,65,1,3.44,clear sky
166,Jiexiu,CN,37.0244,111.9125,46.89,67,100,1.32,moderate rain
167,Madaoua,NE,14.073,5.96,74.21,16,1,10.51,clear sky
168,Santa Rosa,PH,14.3122,121.1114,90.1,69,88,7.38,overcast clouds
169,Muravlenko,RU,63.7898,74.523,-3.19,90,100,18.72,overcast clouds
170,Puerto Madryn,AR,-42.7692,-65.0385,71.06,35,22,14.7,few clouds
171,Asyut,EG,27.181,31.1837,55.58,69,0,6.49,clear sky
172,Yabrud,SY,33.9674,36.6574,44.26,83,96,2.64,overcast clouds
173,Beira,MZ,-19.8436,34.8389,78.06,82,99,8.43,overcast clouds
174,Puertollano,ES,38.6871,-4.1073,46.18,84,95,4.5,overcast clouds
175,Ancud,CL,-41.8697,-73.8203,47.73,93,6,1.7,clear sky
176,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,93,75,12.66,broken clouds
177,Rovaniemi,FI,66.5,25.7167,17.01,92,0,8.05,clear sky
178,Vanimo,PG,-2.6741,141.3028,83.73,75,99,4.34,overcast clouds
179,Walvis Bay,NA,-22.9575,14.5053,57.09,88,47,8.05,scattered clouds
180,Broome,US,42.2506,-75.833,34.38,75,40,3.0,scattered clouds
181,Hermosillo,MX,29.0667,-110.9667,77.38,29,40,1.99,scattered clouds
182,Falmouth,GB,50.1544,-5.0711,50.77,93,75,5.75,mist
183,Makokou,GA,0.5738,12.8642,67.96,99,39,1.45,scattered clouds
184,Coihaique,CL,-45.5752,-72.0662,53.55,66,0,2.3,clear sky
185,Soure,BR,-0.7167,-48.5233,79.97,84,60,9.22,broken clouds
186,Chippewa Falls,US,44.9369,-91.3929,33.39,63,1,8.05,clear sky
187,Kalisz,PL,51.7611,18.091,52.72,79,72,20.74,broken clouds
188,Chuy,UY,-33.6971,-53.4616,59.25,78,0,8.12,clear sky
189,Port Moresby,PG,-9.4431,147.1797,89.02,70,40,17.27,scattered clouds
190,Aksha,RU,50.2814,113.2867,19.96,61,67,4.47,broken clouds
191,Hamilton,US,39.1834,-84.5333,34.65,79,1,1.01,clear sky
192,Rincon,US,32.296,-81.2354,54.86,69,20,9.22,few clouds
193,Adrar,MR,20.5022,-10.0711,73.08,25,100,10.11,overcast clouds
194,Faya,SA,18.3851,42.4509,54.12,84,2,5.82,clear sky
195,New Norfolk,AU,-42.7826,147.0587,59.67,55,76,5.1,broken clouds
196,Waipawa,NZ,-41.4122,175.5153,63.23,34,50,9.35,scattered clouds
197,Malakal,SS,9.5334,31.6605,77.77,37,0,5.66,clear sky
198,Talkha,EG,31.0539,31.3779,58.71,89,100,6.51,overcast clouds
199,Kochubey,RU,44.3861,46.5825,41.67,82,96,2.64,overcast clouds
200,Krechevitsy,RU,58.617,31.401,34.32,97,100,9.93,overcast clouds
201,Flinders,AU,-34.5833,150.8552,66.2,91,100,12.73,light rain
202,Thompson,CA,55.7435,-97.8558,21.36,86,90,8.05,light snow
203,Beloha,MG,-25.1667,45.05,75.4,77,97,6.42,overcast clouds
204,Shimanovsk,RU,52.0,127.7,17.92,56,87,4.12,overcast clouds
205,Manjeshwar,IN,12.7194,74.8861,77.95,88,100,2.26,overcast clouds
206,Veselynove,UA,47.3567,31.2349,45.55,89,99,15.32,overcast clouds
207,Coracao De Jesus,BR,-16.6853,-44.365,70.52,88,100,1.83,moderate rain
208,Tahta,EG,26.7693,31.5021,59.32,65,0,7.52,clear sky
209,Mar Del Plata,AR,-38.0023,-57.5575,58.08,94,0,7.0,fog
210,Loknya,RU,56.83,30.1467,43.3,80,97,17.02,overcast clouds
211,Deer Lake,CA,49.1667,-57.4316,39.06,93,90,8.05,overcast clouds
212,Pereira Barreto,BR,-20.6383,-51.1092,70.3,89,98,4.21,overcast clouds
213,Clyde River,CA,70.4692,-68.5914,10.63,92,100,19.57,light snow
214,Labuhan,ID,-6.8844,112.2051,77.67,87,100,3.33,moderate rain
215,Tabuk,PH,17.4189,121.4443,83.93,61,43,7.49,scattered clouds
216,Port Hedland,AU,-20.3167,118.5667,96.85,34,31,11.5,scattered clouds
217,Kavieng,PG,-2.5744,150.7967,83.97,69,90,6.35,overcast clouds
218,Alberdi,AR,-32.8899,-60.6906,69.69,73,0,1.14,clear sky
219,Half Moon Bay,US,37.4636,-122.4286,60.03,90,90,1.01,overcast clouds
220,Jalu,LY,29.0331,21.5482,61.38,77,84,9.04,broken clouds
221,Hambantota,LK,6.1241,81.1185,82.74,83,0,9.22,clear sky
222,Praya,CV,14.9215,-23.5087,77.54,88,90,6.91,overcast clouds
223,Padang,ID,-0.9492,100.3543,87.85,62,71,4.81,broken clouds
224,Piranhas,BR,-16.4269,-51.8222,71.1,92,98,3.96,overcast clouds
225,Hofn,IS,64.2539,-15.2082,35.51,75,13,10.11,few clouds
226,Pafos,CY,34.7667,32.4167,58.78,77,75,8.05,broken clouds
227,Alta Floresta,BR,-9.8756,-56.0861,71.06,99,100,3.85,light rain
228,Saint-Philippe,RE,-21.3585,55.7679,81.48,67,27,13.47,scattered clouds
229,Port Macquarie,AU,-31.4333,152.9167,82.36,76,100,10.22,overcast clouds
230,Esso,RU,55.9333,158.7,12.45,96,67,5.19,broken clouds
231,East London,ZA,-33.0153,27.9116,58.14,94,20,5.75,light rain
232,Farah,AF,32.5,62.5,48.07,38,0,1.43,clear sky
233,Zavetnoye,RU,47.1194,43.8903,39.0,92,100,9.8,overcast clouds
234,Clermont,FR,49.5,2.4167,48.0,95,12,3.56,few clouds
235,Airai,TL,-8.9266,125.4092,75.38,64,97,1.19,overcast clouds
236,Mount Isa,AU,-20.7333,139.5,98.37,19,5,8.05,clear sky
237,Kouango,CF,4.9934,19.9619,73.02,84,52,0.51,broken clouds
238,Havoysund,NO,70.9963,24.6622,34.68,95,100,27.69,light snow
